p_val	pct.1	pct.2	p_val_adj	diff
ENST00000367679.6	0.0173530103630175	0.078	0	1	-0.000322660106659851
ENST00000216281.12	0.0179980687358552	0.169	0.164	1	0.000710142297601968
ENST00000259021.8	0.018050387938466	0.104	0	1	0.00151851438396501
ENST00000268766.10	0.0181213043084788	0.059	0	1	0.00153599627610313
ENST00000286091.8	0.0190556576879387	0.271	0	1	-0.00334057306922813
ENST00000274063.4	0.0194769175889735	0.275	0	1	-0.00332408209853917
ENST00000455250.1	0.0203113750574826	0.364	0	1	0.00254859098395418
ENST00000438325.2	0.0212604316140739	0.051	0	1	0.00133068034068797
ENST00000603931.1	0.0213547153882874	0	0.199	1	-0.00891404348116947
ENST00000586602.5	0.0226082008263465	0.165	0	1	-0.000617104788423784
ENST00000645507.1	0.0226082008263465	0.165	0	1	0.00128625057459302
ENST00000298510.3	0.0262256149729739	0.04	0	1	-0.0016683565392629
ENST00000368259.6	0.0266379140826019	0.106	0	1	-0.00177480447359614
ENST00000458062.3	0.0286327183986842	0.1	0	1	0.00144021133350737
ENST00000296145.5	0.0306198466091726	0.159	0	1	-0.000828734882570647
ENST00000340913.10	0.0335563088274291	0	0.107	1	-0.00666567789996113
ENST00000491291.1	0.0338425018447342	0.121	0	1	-0.00156241323458807
ENST00000361681.2	0.0352246967823031	0	0.187	1	0.00134552879446006
ENST00000359543.7	0.0356260637227243	0.061	0	1	0.00117220857174575
ENST00000547566.5	0.0362583771261295	0	0.127	1	-0.0103688556861712
ENST00000222247.9	0.0368380787890654	0.265	0.542	1	0.0021325206058076
ENST00000484610.5	0.0385731563289844	0	0.13	1	-0.00360614045678767
ENST00000357235.5	0.0411528166858912	0.017	0	1	8.28920279727285e-05
ENST00000467951.1	0.0433537229832932	0.068	0	1	-0.000661312505442955
ENST00000490804.1	0.0473910248844568	0.303	0.522	1	-0.0112266796888403
ENST00000604952.1	0.047696513393847	0.485	0.121	1	-0.0118213154729182
ENST00000301178.8	0.0492595006081231	0.074	0	1	0.000156265885980123
ENST00000399974.4	0.0516406198130126	0.32	0	1	-0.00539222176254792
ENST00000216121.11	0.0518780884393323	0.106	0	1	-0.000961022146200362
ENST00000376767.7	0.0532211298202775	0.33	0	1	0.00291306667119946
ENST00000528205.1	0.053451060201007	0	0.15	1	-0.00726630718437343
ENST00000246949.9	0.0566485776903013	0.072	0	1	0.00183788048122269
ENST00000369496.8	0.0611093458274647	0.076	0	1	-0.000117633047887456
ENST00000424167.2	0.0611093458274647	0.076	0	1	0.000878342638166371
ENST00000269395.6	0.0626568271739017	0.464	0	1	0.00801641435574337
ENST00000556593.1	0.0631688600223132	0	0.184	1	-0.00729707228579445
ENST00000576917.5	0.0650976387985933	0.07	0	1	-0.00245616063931325
ENST00000576544.5	0.0666342920387935	0.055	0	1	0.00145166908840124
ENST00000524174.1	0.067569532713079	0.061	0.519	1	-0.0109214750006425
ENST00000599618.1	0.0691476859135959	0	0.121	1	-0.00703285412672436
ENST00000476531.1	0.0693443682084553	0.021	0	1	5.15898475317672e-05
ENST00000421427.5	0.0702018015819944	0.133	0.138	1	-0.00450086107927481
ENST00000598742.5	0.0705647186342443	0.261	0.144	1	-0.00055978967399144
ENST00000412097.5	0.0726804556971269	0	0.124	1	-0.00278367482961529
ENST00000530721.5	0.0736549891311776	0	0.147	1	-0.000909172973954273
ENST00000229239.9	0.0745832590644097	0	0.173	1	-0.00953573761160217
ENST00000355354.12	0.0765493767716802	0.453	0	1	0.009463958892891
ENST00000262722.11	0.0781428326453351	0.142	0	1	-0.00246714896561238
